time_ms,C3,C4,Cz,state
0.0,-0.3092859387397766,-0.7624655365943909,0.3588661551475525,42.0
0.002,0.8244474530220032,0.04583391919732094,-0.9444859623908997,42.0
0.004,0.04914577305316925,0.22478872537612915,0.23000526428222656,42.0
0.006,1.009311318397522,0.07356246560811996,-0.11577512323856354,42.0
0.008,-0.8835928440093994,-0.020746886730194092,-0.33082884550094604,42.0
0.01,0.22661754488945007,-0.6543806791305542,0.37179428339004517,42.0
0.012,-1.5566587448120117,-0.3414766490459442,-0.9321351647377014,42.0
0.014,-0.21304316818714142,-0.2929173409938812,-0.2939791977405548,42.0
0.016,0.8426084518432617,-0.3031269609928131,0.09242555499076843,42.0
0.018,1.3931317329406738,0.5510062575340271,-1.620388388633728,42.0
0.02,-0.6465456485748291,-0.0664370059967041,0.13289061188697815,42.0
0.022,0.3163188397884369,1.056174635887146,1.0829753875732422,42.0
0.024,-0.7138932943344116,0.07486777752637863,-0.12815342843532562,42.0
0.026,2.7115488052368164,0.8573538661003113,0.4095652997493744,42.0
0.028,-1.8204869031906128,0.04772323742508888,-1.8702558279037476,42.0
0.03,-1.6108425855636597,0.010762528516352177,-1.3412017822265625,42.0
0.032,1.0877618789672852,2.110711097717285,-0.12970620393753052,42.0
0.034,0.37362056970596313,-1.1626917123794556,-0.12905505299568176,42.0
0.036,0.10659858584403992,-0.30870842933654785,-0.45231893658638,42.0
0.038,0.44157150387763977,1.5991597175598145,-0.2085627168416977,42.0
0.04,0.9609128832817078,-1.3848179578781128,-1.0017049312591553,42.0
0.042,0.3250397741794586,0.05601487681269646,-0.3397970497608185,42.0
0.044,-0.9128131866455078,-0.3228168189525604,0.24202606081962585,42.0
0.046,-0.4890943467617035,-0.19638827443122864,-0.5308413505554199,42.0
0.048,0.6398255228996277,1.886528491973877,0.6266525387763977,42.0
0.05,-1.3592671155929565,1.750488042831421,0.5190553665161133,42.0
0.052,-1.026694893836975,0.6569948196411133,1.3838030099868774,42.0
0.054,0.6290224194526672,2.5059525966644287,-0.07437717914581299,42.0
0.056,0.3510705828666687,-0.6634605526924133,-2.043077230453491,42.0
0.058,0.11796501278877258,0.8679525256156921,-0.3615196943283081,42.0
0.06,2.3065531253814697,1.8695024251937866,0.9046803116798401,42.0
0.062,-0.19718223810195923,0.39933207631111145,0.49735310673713684,42.0
0.064,-0.9653918743133545,1.2386157512664795,-0.0031268002931028605,42.0
0.066,0.581136167049408,0.15766797959804535,0.6643126606941223,42.0
0.068,-0.8133142590522766,0.8775494694709778,1.0826307535171509,42.0
0.07,0.06260666996240616,-0.5125692486763,0.4559246301651001,42.0
0.072,-0.5923935770988464,-1.1700972318649292,-0.38073819875717163,42.0
0.074,1.403389573097229,1.3572438955307007,0.580025851726532,42.0
0.076,1.307377576828003,0.2773039937019348,-1.4838615655899048,42.0
0.078,0.09205573052167892,1.3307620286941528,1.325682282447815,42.0
0.08,0.539251983165741,-1.1074495315551758,0.5942851305007935,42.0
0.082,-0.025395339354872704,-0.25548750162124634,-1.864198923110962,42.0
0.084,-1.84498929977417,1.707460641860962,-0.2616811692714691,42.0
0.086,-0.009783048182725906,0.9937573075294495,1.3679783344268799,42.0
0.088,0.4374309480190277,1.1923683881759644,-0.9437419176101685,42.0
0.09,1.555437684059143,0.14287899434566498,-0.4914301335811615,42.0
0.092,0.5787070989608765,-1.2231366634368896,1.297089695930481,42.0
0.094,-1.4044866561889648,-0.6214223504066467,2.1154062747955322,42.0
0.096,-0.3711223304271698,-0.1685553640127182,-0.2522762715816498,42.0
0.098,0.15257199108600616,0.14218488335609436,-0.06099593639373779,42.0
0.1,1.0684714317321777,0.0787234678864479,-0.5100176930427551,42.0
0.102,-0.4427529275417328,-0.4842565059661865,-0.5732790231704712,42.0
0.104,-1.1807657480239868,1.9936718940734863,-0.6654430031776428,42.0
0.106,0.863838255405426,0.583840548992157,0.8892471194267273,42.0
0.108,-0.4162313938140869,-0.4335537850856781,-0.2142365574836731,42.0
0.11,-0.7025012969970703,-0.050254952162504196,0.8026084899902344,42.0
0.112,0.9621113538742065,0.6291103959083557,-0.085834801197052,42.0
